brand,series,model,ad_title,year,mileage,color,price,ad_date,city,district,url
Audi,A3,A3 Sportback 1.8 T,"2001 A3 1.8 T 200+hp ""STOCK""",2001,239000,Gümüş Gri,345000.0,23 Mayıs 2023,Nevşehir,Merkez,/ilan/vasita-otomobil-audi-2001-a3-1.8-t-200-plushp-stock-1060777326/detay
Audi,A3,A3 Hatchback 1.6 FSI,EMSALSİZ TEMİZLİKTE ORJİNAL S LİNE,2006,225000,Siyah,345000.0,20 Mayıs 2023,İstanbul,Eyüpsultan,/ilan/vasita-otomobil-audi-emsalsiz-temizlikte-orjinal-s-line-1100470862/detay
Audi,A6,A6 Sedan 2.8,Audi A6 2.8 Quattro Metalik Siyah 2003 Çıkışlı Tertemiz TANK,1998,360000,Siyah,350000.0,19 Mayıs 2023,İzmir,Buca,/ilan/vasita-otomobil-audi-audi-a6-2.8-quattro-metalik-siyah-2003-cikisli-tertemiz-tank-1099963851/detay
Audi,A4,A4 Sedan 1.8 T,Değişensiz / / / tertemiz,2003,390000,Gri,389950.0,23 Mayıs 2023,Ankara,Elmadağ,/ilan/vasita-otomobil-audi-degisensiz-tertemiz-1090317190/detay
Audi,A4,A4 Sedan 1.8 T,SAHİBİNDEN 2004 MODEL AUDİ A4 1.8T MULTİTRONİC,2004,368000,Gri,390000.0,25 Mayıs 2023,Konya,Selçuklu,/ilan/vasita-otomobil-audi-sahibinden-2004-model-audi-a4-1.8t-multitronic-1101611310/detay
Audi,A6,A6 Sedan 2.4,2002 MULTİTRONİC & DEĞİŞENSİZ & BİNİCİYE ÖZEL,2002,281000,Lacivert,393000.0,24 Mayıs 2023,Konya,Selçuklu,/ilan/vasita-otomobil-audi-2002-multitronic-degisensiz-biniciye-ozel-1101287290/detay
Audi,A4,A4 Sedan 2.0 TDI,SAHİBİNDEN AUDI A4 SUNROOF'lu,2006,403000,Füme,408900.0,25 Mayıs 2023,Antalya,Muratpaşa,/ilan/vasita-otomobil-audi-sahibinden-audi-a4-sunroof-lu-1101635110/detay
Audi,A3,A3 Sportback 1.6 FSI,A3 Sportback En Uygun,2005,336000,Füme,420000.0,25 Mayıs 2023,Aksaray,Merkez,/ilan/vasita-otomobil-audi-a3-sportback-en-uygun-1101580843/detay
Audi,A3,A3 Sportback 1.6,bebek satışta,2008,260000,Kırmızı,425000.0,22 Mayıs 2023,İzmir,Bornova,/ilan/vasita-otomobil-audi-bebek-satista-1100768994/detay
Audi,A3,A3 Hatchback 1.6 FSI,Temiz Araç,2006,187000,Kırmızı,425000.0,21 Mayıs 2023,İstanbul,Ümraniye,/ilan/vasita-otomobil-audi-temiz-arac-1100836470/detay
